id;title;description;description_content_type;start_date_time;end_date_time
1;compelling mission-critical;../fake-data/blob/hipster.png;image/png;2019-09-04T08:07:32;2019-09-04T14:31:35
2;scalable;../fake-data/blob/hipster.png;image/png;2019-09-04T17:11:02;2019-09-04T19:21:40
3;Administrator;../fake-data/blob/hipster.png;image/png;2019-09-04T02:37:00;2019-09-04T11:40:24
4;24 hour;../fake-data/blob/hipster.png;image/png;2019-09-04T20:48:44;2019-09-04T01:34:46
5;monitor;../fake-data/blob/hipster.png;image/png;2019-09-04T03:39:15;2019-09-04T02:11:10
6;Checking Account Identity deposit;../fake-data/blob/hipster.png;image/png;2019-09-03T23:11:29;2019-09-04T00:26:10
7;Investment Account archive Fantastic Plastic Chicken;../fake-data/blob/hipster.png;image/png;2019-09-04T13:20:45;2019-09-04T05:10:06
8;New York tangible Mississippi;../fake-data/blob/hipster.png;image/png;2019-09-04T11:57:36;2019-09-04T18:16:48
9;bus synthesize Idaho;../fake-data/blob/hipster.png;image/png;2019-09-04T02:38:50;2019-09-04T15:00:17
10;Sleek Metal Table Small;../fake-data/blob/hipster.png;image/png;2019-09-04T10:36:23;2019-09-04T18:33:39
