id;title;description;description_content_type;start_date_time;end_date_time
1;compelling mission-critical;../fake-data/blob/hipster.png;image/png;2019-11-08T05:39:02;2019-11-08T12:03:05
2;scalable;../fake-data/blob/hipster.png;image/png;2019-11-08T14:42:32;2019-11-08T16:53:10
3;Administrator;../fake-data/blob/hipster.png;image/png;2019-11-08T00:08:30;2019-11-08T09:11:54
4;24 hour;../fake-data/blob/hipster.png;image/png;2019-11-08T18:20:14;2019-11-07T23:06:16
5;monitor;../fake-data/blob/hipster.png;image/png;2019-11-08T01:10:45;2019-11-07T23:42:41
6;Checking Account Identity deposit;../fake-data/blob/hipster.png;image/png;2019-11-07T20:42:59;2019-11-07T21:57:40
7;Investment Account archive Fantastic Plastic Chicken;../fake-data/blob/hipster.png;image/png;2019-11-08T10:52:15;2019-11-08T02:41:36
8;New York tangible Mississippi;../fake-data/blob/hipster.png;image/png;2019-11-08T09:29:06;2019-11-08T15:48:18
9;bus synthesize Idaho;../fake-data/blob/hipster.png;image/png;2019-11-08T00:10:20;2019-11-08T12:31:47
10;Sleek Metal Table Small;../fake-data/blob/hipster.png;image/png;2019-11-08T08:07:53;2019-11-08T16:05:09
